NCBI Accession,type,proportion,number of bp
NC_027358.1,virus,0.000110387,2207.748946
NC_027359.1,virus,7.58E-06,151.6247975
NC_027360.1,virus,8.74E-05,1748.279863
NC_027361.1,virus,1.08E-05,215.9504692
NC_027362.1,virus,6.43E-06,128.6513434
NC_027363.1,virus,8.05E-05,1610.439138
NC_027364.1,virus,0.001447902,28958.03899
NC_027365.1,virus,2.98E-05,595.0124631
NC_027366.1,virus,0.000561127,11222.53236
NC_027367.1,virus,4.02E-06,80.40708961
NC_027369.1,virus,0.000113719,2274.371963
NC_027370.1,virus,1.75E-05,349.1965034
NC_027371.1,virus,1.68E-05,335.4124309
NC_027372.1,virus,5.16E-05,1031.508092
NC_027373.1,virus,1.02E-05,204.4637421
NC_027374.1,virus,0.00051047,10209.40303
NC_027375.1,virus,2.32E-05,464.0637743
NC_027377.1,virus,3.84E-05,767.3133694
NC_027378.1,virus,3.22E-05,643.2567169
NC_027379.1,virus,0.00012957,2591.405631
NC_027381.1,virus,0.000257647,5152.945771
NC_027382.1,virus,7.67E-05,1534.626739
NC_027383.1,virus,5.11E-05,1022.318711
NC_027384.1,virus,1.83E-05,365.2779214
NC_027385.1,virus,1.76E-05,351.4938489
NC_027386.1,virus,7.93E-06,158.5168338
NC_027387.1,virus,4.81E-05,961.4390572
NC_027388.1,virus,2.23E-05,445.685011
NC_027389.1,virus,4.94E-06,98.78585295
NC_027390.1,virus,5.65E-05,1130.293945
NC_027391.1,virus,2.85E-05,569.7416635
NC_027393.1,virus,3.12E-05,624.8779535
NC_027394.1,virus,5.64E-05,1127.9966
NC_027395.1,virus,0.000165294,3305.880056
NC_027396.1,virus,6.55E-05,1309.486888
NC_027397.1,virus,3.32E-05,663.9328256
NC_027398.1,virus,8.01E-05,1601.249756
NC_027399.1,virus,0.002014198,40283.95189
NC_027400.1,virus,4.94E-06,98.78585295
NC_027401.1,virus,1.45E-05,289.4655226
NC_027402.1,virus,0.000407434,8148.684195
NC_027404.1,virus,0.000372917,7458.331897
NC_027620.1,virus,7.47E-06,149.3274521
NC_027621.1,virus,6.55E-06,130.9486888
NC_027622.1,virus,5.51E-06,110.27258
NC_027623.1,virus,3.10E-06,62.02832627
NC_027624.1,virus,7.70E-06,153.922143
NC_027625.1,virus,1.62E-05,323.9257038
NC_027626.1,virus,4.25E-06,85.00178044
NC_027627.1,virus,8.73E-06,174.5982517
NC_027628.1,virus,6.09E-06,121.7593071
NC_027629.1,virus,7.70E-06,153.922143
NC_027630.1,virus,1.69E-05,338.8584491
NC_027633.1,virus,1.95E-05,390.548721
NC_027634.1,virus,7.35E-06,147.0301067
NC_027635.1,virus,5.09E-05,1017.72402
NC_027636.1,virus,3.45E-07,6.892036252
NC_027637.1,virus,2.01E-05,402.035448
NC_027638.1,virus,8.39E-06,167.7062155
NC_027639.1,virus,6.09E-06,121.7593071
NC_027640.1,virus,7.35E-06,147.0301067
NC_027641.1,virus,1.22E-05,243.5186142
NC_027642.1,virus,7.58E-06,151.6247975
NC_027643.1,virus,1.84E-06,36.75752668
NC_027644.1,virus,3.68E-06,73.51505336
NC_027645.1,virus,2.30E-06,45.94690835
NC_027646.1,virus,4.48E-06,89.59647128
NC_027647.1,virus,1.22E-05,243.5186142
NC_027648.1,virus,4.59E-07,9.189381669
NC_027979.1,virus,0.000195504,3910.0819
NC_027982.1,virus,4.53E-05,905.1540944
NC_027983.1,virus,0.000187176,3743.524358
NC_027984.1,virus,3.64E-05,728.2584973
NC_027985.1,virus,3.45E-06,68.92036252
NC_027986.1,virus,6.06E-05,1212.99838
NC_027987.1,virus,0.000122334,2446.672869
NC_027988.2,virus,0.000159091,3181.823403
NC_027990.1,virus,5.25E-05,1049.886856
NC_027991.1,virus,6.38E-05,1276.175379
NC_027992.1,virus,2.52E-05,503.1186464
NC_027993.1,virus,4.62E-05,923.5328578
NC_027994.1,virus,6.00E-05,1199.214308
NC_027995.1,virus,5.12E-05,1024.616056
NC_028247.1,virus,0.000209288,4185.76335
NC_028248.1,virus,0.000235823,4716.450142
NC_028448.1,virus,0.000151223,3024.455242
NC_028449.1,virus,3.14E-05,627.1752989
NC_028651.1,virus,0.000183558,3671.157977
NC_028652.1,virus,4.84E-05,967.1824207
NC_028653.1,virus,4.79E-05,957.993039
NC_028654.1,virus,9.76E-06,195.2743605
NC_028655.1,virus,0.000151165,3023.306569
NC_028656.1,virus,2.84E-05,568.5929908
NC_028657.1,virus,4.99E-05,997.0479111
NC_028658.1,virus,5.17E-06,103.3805438
NC_028659.1,virus,0.000527471,10549.41016
NC_028660.1,virus,3.09E-05,617.9859173
NC_028661.1,virus,2.75E-05,549.0655548
NC_028662.1,virus,5.54E-05,1107.320491
NC_028663.1,virus,0.000333,6660.004365
NC_028664.1,virus,3.19E-05,638.662026
NC_028665.1,virus,3.47E-05,693.798316
NC_028666.1,virus,9.07E-05,1814.90288
NC_028667.1,virus,2.32E-05,464.0637743
NC_028668.1,virus,6.72E-05,1343.947069
NC_028669.1,virus,6.57E-05,1314.081579
NC_028670.1,virus,1.94E-05,388.2513755
NC_028671.2,virus,0.000202568,4051.368644
NC_028672.1,virus,0.000261323,5226.460825
NC_028673.1,virus,3.00E-05,599.6071539
NC_028674.1,virus,5.05E-06,101.0831984
NC_028675.1,virus,9.82E-05,1964.230332
NC_028676.1,virus,0.000179308,3586.156197
NC_028677.1,virus,0.000131064,2621.271121
NC_028678.1,virus,1.76E-05,351.4938489
NC_028679.1,virus,2.21E-05,441.0903201
NC_028680.1,virus,7.35E-06,147.0301067
NC_028681.1,virus,1.95E-06,39.0548721
NC_028682.1,virus,3.10E-06,62.02832627
NC_028683.1,virus,0.000796719,15934.38781
NC_028684.1,virus,1.91E-05,381.3593393
NC_028685.1,virus,2.99E-05,598.4584812
NC_028686.1,virus,0.000276715,5534.30511
NC_028687.1,virus,2.54E-05,507.7133372
NC_028688.1,virus,2.79E-05,558.2549364
NC_028689.1,virus,4.02E-06,80.40708961
NC_028690.1,virus,3.79E-06,75.81239877
NC_028691.1,virus,1.57E-05,314.7363222
NC_028692.1,virus,1.64E-05,328.5203947
NC_028693.1,virus,0.00018597,3719.402231
NC_028694.1,virus,4.08E-06,81.55576232
NC_028695.2,virus,6.44E-05,1288.810779
NC_028696.2,virus,3.96E-05,792.584169
NC_028697.1,virus,8.17E-05,1633.412592
NC_028698.1,virus,3.94E-05,787.9894782
NC_028699.1,virus,4.88E-05,976.3718024
NC_028700.1,virus,8.09E-05,1617.331174
NC_028701.2,virus,1.70E-05,340.0071218
NC_028702.1,virus,2.61E-05,521.4974097
NC_028742.1,virus,2.95E-05,590.4177723
NC_028743.1,virus,8.09E-05,1617.331174
NC_028744.1,virus,2.53E-05,505.4159918
NC_028745.1,virus,6.51E-05,1302.594852
NC_028746.1,virus,8.09E-05,1617.331174
NC_028747.1,virus,1.60E-05,319.331013
NC_028748.2,virus,0.000129111,2582.216249
NC_028749.1,virus,0.000365163,7303.261082
NC_028750.1,virus,0.000554924,11098.47571
NC_028751.1,virus,1.38E-05,275.6814501
NC_028754.1,virus,0.000110158,2203.154255
NC_028755.1,virus,0.000351724,7034.471668
NC_028757.1,virus,3.07E-05,613.3912264
NC_028758.1,virus,5.32E-05,1063.670928
NC_028759.1,virus,4.61E-05,921.2355124
NC_028760.1,virus,3.14E-05,627.1752989
NC_028762.1,virus,0.000888383,17767.66946
NC_028763.1,virus,0.000239958,4799.154577
NC_028765.1,virus,0.000620628,12412.55729
NC_028766.1,virus,6.82E-05,1364.623178
NC_028767.1,virus,7.65E-05,1530.032048
NC_028768.1,virus,5.05E-05,1010.831984
NC_028770.1,virus,4.65E-05,930.424894
NC_028772.1,virus,3.71E-05,742.0425698
NC_028773.1,virus,0.000548147,10962.93233
NC_028774.1,virus,3.51E-05,702.9876977
NC_028775.1,virus,0.000253857,5077.133372
NC_028776.1,virus,4.74E-05,948.8036574
NC_028777.1,virus,0.000297966,5959.314013
NC_028778.1,virus,9.06E-05,1811.456862
NC_028779.1,virus,2.18E-05,436.4956293
NC_028780.1,virus,0.000155875,3117.497731
NC_028782.1,virus,0.000104185,2083.692294
NC_028783.1,virus,6.81E-05,1362.325833
NC_028784.1,virus,3.24E-05,647.8514077
NC_028785.1,virus,1.87E-05,374.467303
NC_028786.1,virus,4.10E-05,820.152314
NC_028787.1,virus,0.000206876,4137.519097
NC_028788.1,virus,1.59E-05,317.0336676
NC_028789.1,virus,0.000123942,2478.835705
NC_028791.1,virus,3.56E-05,712.1770794
NC_028792.1,virus,1.78E-05,356.0885397
NC_028794.1,virus,1.41E-05,282.5734863
NC_028795.1,virus,1.69E-05,337.7097764
NC_028796.1,virus,4.04E-05,808.6655869
NC_028798.1,virus,2.03E-05,406.6301389
NC_028799.1,virus,0.000310946,6218.914045
NC_028800.1,virus,3.71E-05,742.0425698
NC_028801.1,virus,2.30E-06,45.94690835
NC_028802.1,virus,2.89E-05,578.9310452
NC_028803.1,virus,5.05E-06,101.0831984
NC_028804.1,virus,8.27E-06,165.4088701
NC_028805.1,virus,0.00022491,4498.202327
NC_028807.1,virus,1.84E-05,367.5752668
NC_028808.2,virus,0.000136922,2738.435738
NC_028809.1,virus,6.01E-05,1201.511653
NC_028810.1,virus,5.51E-06,110.27258
NC_028812.1,virus,5.25E-05,1049.886856
NC_028813.1,virus,2.11E-05,422.7115568
NC_028815.1,virus,6.78E-06,135.5433796
NC_028816.1,virus,6.20E-06,124.0566525
NC_028817.1,virus,3.76E-05,751.2319515
NC_028818.1,virus,3.70E-05,739.7452244
NC_028819.1,virus,8.17E-05,1633.412592
NC_028820.1,virus,0.000517018,10340.35172
NC_028821.1,virus,0.000300952,6019.044994
NC_028822.1,virus,9.99E-05,1998.690513
NC_028823.1,virus,1.29E-05,257.3026867
NC_028825.1,virus,8.26E-05,1652.940028
NC_028826.1,virus,0.000163456,3269.122529
NC_028827.1,virus,4.12E-05,824.7470048
NC_028828.1,virus,3.45E-06,68.92036252
NC_028829.1,virus,0.000589269,11785.38199
NC_028830.1,virus,5.17E-05,1033.805438
NC_028831.1,virus,6.65E-05,1330.162997
NC_028832.1,virus,4.63E-05,925.8302032
NC_028834.1,virus,5.18E-05,1036.102783
NC_028835.1,virus,3.49E-05,698.3930069
NC_028836.1,virus,1.56E-05,312.4389768
NC_028837.1,virus,4.59E-05,918.9381669
NC_028840.1,virus,0.000380211,7604.213331
NC_028841.1,virus,0.000166443,3328.85351
NC_028842.1,virus,8.96E-06,179.1929426
NC_028843.1,virus,4.53E-05,905.1540944
NC_028844.1,virus,5.05E-05,1009.683311
NC_028846.1,virus,2.33E-05,466.3611197
NC_028847.1,virus,0.000452232,9044.648908
NC_028848.1,virus,5.19E-05,1038.400129
NC_028849.1,virus,2.91E-05,581.2283906
NC_028850.1,virus,4.19E-05,838.5310773
NC_028851.1,virus,3.18E-05,636.3646806
NC_028852.1,virus,1.69E-05,337.7097764
NC_028853.1,virus,7.19E-05,1438.138231
NC_028854.1,virus,0.000124746,2494.917123
NC_028855.1,virus,6.77E-05,1353.136451
NC_028856.1,virus,0.000430293,8605.855933
NC_028857.1,virus,0.000397498,7949.963817
NC_028859.1,virus,8.11E-05,1621.925865
NC_028860.1,virus,2.80E-05,560.5522818
NC_028861.1,virus,4.38E-05,875.288604
NC_028862.1,virus,0.000215261,4305.225312
NC_028863.1,virus,1.42E-05,284.8708318
NC_028864.1,virus,3.24E-05,647.8514077
NC_028865.1,virus,6.44E-05,1288.810779
NC_028869.1,virus,8.29E-05,1658.683391
NC_028870.1,virus,2.94E-05,588.1204268
NC_028871.1,virus,0.000188612,3772.241175
NC_028872.1,virus,4.15E-05,829.3416957
NC_028874.1,virus,9.76E-06,195.2743605
NC_028876.2,virus,3.99E-05,797.1788598
NC_028877.1,virus,2.70E-05,539.8761731
NC_028878.1,virus,4.49E-05,898.2620582
NC_028879.1,virus,5.11E-05,1021.170038
NC_028880.1,virus,2.66E-05,532.9841368
NC_028881.1,virus,0.000305892,6117.830846
NC_028882.1,virus,9.27E-05,1853.957752
NC_028885.1,virus,2.26E-05,452.5770472
NC_028886.1,virus,0.00025983,5196.595334
NC_028887.1,virus,0.000342419,6848.386689
NC_028888.1,virus,2.76E-05,551.3629002
NC_028889.1,virus,2.33E-05,466.3611197
NC_028890.1,virus,0.000390549,7810.974419
NC_028892.1,virus,3.12E-05,624.8779535
NC_028894.1,virus,0.000248688,4973.752829
NC_028895.1,virus,0.000178504,3570.074779
NC_028896.1,virus,1.69E-05,337.7097764
NC_028897.1,virus,2.94E-05,588.1204268
NC_028898.1,virus,7.55E-05,1509.355939
NC_028899.1,virus,0.000439023,8780.454185
NC_028900.1,virus,0.000139679,2793.572028
NC_028901.1,virus,2.77E-05,553.6602456
NC_028902.1,virus,5.17E-06,103.3805438
NC_028903.1,virus,0.000184592,3691.834086
NC_028904.1,virus,3.03E-05,606.4991902
NC_028906.1,virus,2.77E-05,553.6602456
NC_028907.1,virus,4.48E-06,89.59647128
NC_028908.2,virus,0.000119692,2393.833925
NC_028910.1,virus,1.14E-05,227.4371963
NC_028911.1,virus,4.22E-05,843.1257682
NC_028912.1,virus,3.04E-05,608.7965356
NC_028913.1,virus,0.000118888,2377.752507
NC_028914.1,virus,3.46E-05,691.5009706
NC_028915.1,virus,8.53E-05,1706.927645
NC_028916.1,virus,4.72E-05,944.2089665
NC_028917.1,virus,0.000186315,3726.294267
NC_028919.1,virus,5.65E-05,1130.293945
NC_028920.1,virus,1.25E-05,250.4106505
NC_028922.1,virus,2.29E-05,457.1717381
NC_028923.1,virus,3.16E-05,631.7699898
NC_028924.1,virus,0.000333115,6662.30171
NC_028925.1,virus,0.000304628,6092.560047
NC_028926.1,virus,0.000105104,2102.071057
NC_028927.1,virus,0.000180801,3616.021687
NC_028928.1,virus,5.97E-06,119.4619617
NC_028929.1,virus,7.94E-05,1587.465683
NC_028930.1,virus,6.01E-05,1201.511653
NC_028931.1,virus,2.29E-05,457.1717381
NC_028932.1,virus,3.53E-05,705.2850431
NC_028933.1,virus,3.66E-05,732.8531881
NC_028934.1,virus,6.02E-05,1203.808999
NC_028935.2,virus,0.000104529,2090.58433
NC_028936.1,virus,6.06E-05,1212.99838
NC_028937.1,virus,9.99E-06,199.8690513
NC_028938.1,virus,6.97E-05,1394.488668
NC_028939.1,virus,3.69E-05,737.447879
NC_028940.1,virus,0.000774091,15481.81077
NC_028941.1,virus,6.32E-06,126.353998
NC_028942.1,virus,8.62E-06,172.3009063
NC_028943.1,virus,3.72E-05,744.3399152
NC_028944.1,virus,0.000112455,2249.101164
NC_028945.1,virus,0.000327142,6542.839749
NC_028946.1,virus,1.09E-05,218.2478147
NC_028947.1,virus,4.72E-05,944.2089665
NC_028950.1,virus,0.000325189,6503.784877
NC_028952.1,virus,3.02E-05,604.2018448
NC_028953.1,virus,3.26E-05,652.4460985
NC_028954.1,virus,1.81E-05,362.9805759
NC_028955.1,virus,0.001012096,20241.91047
NC_028956.1,virus,0.000127043,2540.864032
NC_028957.1,virus,0.000361258,7225.151338
NC_028960.2,virus,2.45E-05,489.3345739
NC_028961.1,virus,1.24E-05,248.1133051
NC_028962.1,virus,0.00108584,21716.80623
NC_028965.1,virus,1.87E-05,374.467303
NC_028966.1,virus,7.50E-05,1500.166558
NC_028967.1,virus,9.76E-06,195.2743605
NC_028968.1,virus,7.25E-05,1449.624958
NC_028969.1,virus,6.17E-05,1233.674489
NC_028971.1,virus,3.45E-05,689.2036252
NC_028972.1,virus,5.35E-05,1070.562964
NC_028974.1,virus,2.18E-05,436.4956293
NC_028976.1,virus,1.70E-05,340.0071218
NC_028977.1,virus,5.36E-05,1072.86031
NC_028978.1,virus,2.01E-05,402.035448
NC_028979.1,virus,2.86E-05,572.0390089
NC_028980.1,virus,5.28E-05,1056.778892
NC_028982.1,virus,0.000289006,5780.12107
NC_028983.1,virus,0.000291648,5832.960015
NC_028984.1,virus,6.34E-05,1268.13467
NC_028986.1,virus,7.94E-05,1587.465683
NC_028987.2,virus,0.00012578,2515.593232
NC_028988.1,virus,2.88E-05,576.6336998
NC_028990.1,virus,8.88E-05,1775.848008
NC_028991.1,virus,0.000438448,8768.967458
NC_028992.1,virus,6.87E-05,1373.81256
NC_028993.1,virus,1.73E-05,346.899158
NC_028994.1,virus,8.50E-06,170.0035609
NC_028995.1,virus,9.65E-05,1929.770151
NC_028997.1,virus,6.69E-05,1337.055033
NC_028998.1,virus,0.000114523,2290.453381
NC_028999.1,virus,0.000452003,9040.054217
NC_029000.1,virus,0.000377856,7557.11775
NC_029001.1,virus,0.000367001,7340.018608
NC_029002.1,virus,0.00032002,6400.404333
NC_029003.2,virus,2.10E-05,420.4142114
NC_029004.1,virus,0.000236397,4727.936869
NC_029005.1,virus,5.03E-05,1006.237293
NC_029006.1,virus,0.000332081,6641.625602
NC_029007.1,virus,1.40E-05,280.2761409
NC_029008.1,virus,0.000182869,3657.373904
NC_029009.1,virus,0.000373089,7461.777916
NC_029010.1,virus,0.000108435,2168.694074
NC_029011.1,virus,0.000157828,3156.552603
NC_029012.1,virus,3.68E-06,73.51505336
NC_029013.1,virus,0.000222498,4449.958073
NC_029014.1,virus,5.27E-05,1054.481547
NC_029015.2,virus,2.00E-05,399.7381026
NC_029016.1,virus,0.000105678,2113.557784
NC_029017.1,virus,0.00010786,2157.207347
NC_029018.2,virus,2.13E-05,425.0089022
NC_029019.1,virus,3.01E-05,601.9044994
NC_029020.1,virus,8.73E-05,1745.982517
NC_029021.1,virus,6.64E-05,1327.865651
NC_029022.1,virus,0.000409846,8196.928449
NC_029023.1,virus,5.53E-05,1105.023146
NC_029024.1,virus,0.000183328,3666.563286
NC_029025.1,virus,0.000148983,2979.657006
NC_029026.1,virus,0.000487037,9740.74457
NC_029027.1,virus,0.000219396,4387.929747
NC_029028.1,virus,0.000104989,2099.773711
NC_029029.1,virus,0.000105678,2113.557784
NC_029030.1,virus,0.000130834,2616.67643
NC_029031.1,virus,4.02E-05,804.0708961
NC_029032.1,virus,0.000175517,3510.343798
NC_029033.1,virus,5.89E-05,1178.538199
NC_029042.1,virus,0.000147834,2956.683552
NC_029043.2,virus,1.79E-05,358.3858851
NC_029044.1,virus,7.90E-05,1580.573647
NC_029045.1,virus,3.11E-05,622.5806081
NC_029046.1,virus,5.72E-05,1144.078018
NC_029047.1,virus,6.21E-05,1242.863871
NC_029050.1,virus,5.38E-05,1075.157655
NC_029057.1,virus,0.000806368,16127.36483
NC_029058.1,virus,0.000456885,9137.691398
NC_029059.1,virus,1.25E-05,250.4106505
NC_029060.1,virus,4.85E-05,969.4797661
NC_029061.1,virus,4.87E-05,974.074457
NC_029065.1,virus,0.000150132,3002.630461
NC_029066.1,virus,5.64E-05,1127.9966
NC_029067.1,virus,0.00040709,8141.792159
NC_029068.1,virus,3.64E-05,728.2584973
NC_029069.1,virus,0.000310486,6209.724663
NC_029070.1,virus,2.96E-05,592.7151177
NC_029071.1,virus,0.000106137,2122.747166
NC_029072.1,virus,0.000150419,3008.373824
NC_029073.1,virus,0.001066543,21330.8522
NC_029074.1,virus,3.30E-05,659.3381348
NC_029075.1,virus,9.05E-05,1810.308189
NC_029077.1,virus,4.55E-05,909.7487853
NC_029078.1,virus,9.65E-05,1929.770151
NC_029079.1,virus,2.33E-05,465.212447
NC_029080.1,virus,0.000793733,15874.65683
NC_029081.1,virus,9.68E-05,1936.662187
NC_029083.1,virus,6.69E-05,1337.055033
NC_029084.1,virus,5.92E-05,1183.13289
NC_029091.1,virus,0.000265114,5302.273223
NC_029092.1,virus,2.69E-05,537.5788277
NC_029093.1,virus,1.80E-05,360.6832305
NC_029094.1,virus,0.000534248,10684.95354
NC_029097.1,virus,5.79E-05,1157.86209
NC_029098.1,virus,0.000160355,3207.094203
NC_029099.1,virus,3.85E-05,769.6107148
NC_029100.1,virus,5.89E-05,1178.538199
NC_029101.1,virus,2.75E-05,549.0655548
NC_029102.1,virus,4.39E-05,877.5859494
NC_029103.1,virus,0.000139793,2795.869373
NC_029104.1,virus,0.000165868,3317.366783
NC_029106.1,virus,9.61E-05,1922.878114
NC_029107.1,virus,3.92E-05,783.3947873
NC_029118.1,virus,4.28E-05,856.9098407
NC_029119.1,virus,0.000637973,12759.45645
NC_029120.1,virus,5.69E-05,1137.185982
NC_029121.1,virus,0.000537119,10742.38717
NC_029314.1,virus,0.000204349,4086.977498
NC_029316.1,virus,0.000224451,4489.012946
NC_029548.1,virus,9.51E-05,1902.202006
NC_030458.1,virus,7.81E-06,156.2194884
NC_030472.1,virus,3.45E-06,68.92036252
NC_030476.1,virus,1.60E-05,319.331013
NC_030652.1,virus,0.000101772,2035.44804
NC_030694.1,virus,1.65E-05,330.8177401
NC_030695.1,virus,1.68E-05,335.4124309
NC_030696.1,virus,2.47E-05,493.9292647
NC_030698.1,virus,1.40E-05,280.2761409
NC_030884.1,virus,0.00024214,4842.80414
NC_030901.1,virus,3.73E-05,746.6372606
NC_030902.1,virus,3.81E-05,762.7186786
NC_030903.1,virus,0.000442296,8845.92853
NC_030904.1,virus,0.00021664,4332.793457
NC_030905.1,virus,7.39E-05,1477.193103
NC_030906.1,virus,8.47E-05,1693.143573
NC_030907.1,virus,1.45E-05,289.4655226
NC_030908.1,virus,1.33E-05,266.4920684
NC_030909.1,virus,3.64E-05,728.2584973
NC_030910.1,virus,3.61E-05,721.3664611
NC_030911.1,virus,3.63E-05,725.9611519
NC_030912.1,virus,8.73E-06,174.5982517
NC_030913.1,virus,3.35E-05,670.8248619
NC_030914.1,virus,4.62E-05,923.5328578
NC_030915.1,virus,9.51E-05,1902.202006
NC_030916.1,virus,1.98E-05,395.1434118
NC_030917.1,virus,7.80E-05,1559.897538
NC_030918.1,virus,3.62E-05,723.6638065
NC_030919.1,virus,2.17E-05,433.0496112
NC_030920.1,virus,0.000486693,9733.852533
NC_030921.1,virus,1.15E-05,229.7345417
NC_030923.1,virus,2.16E-05,431.9009385
NC_030924.1,virus,2.24E-05,447.9823564
NC_030925.1,virus,0.000413292,8265.848812
NC_030927.1,virus,3.60E-05,719.0691156
NC_030929.1,virus,5.69E-05,1137.185982
NC_030930.1,virus,7.60E-05,1520.842666
NC_030931.1,virus,1.84E-05,367.5752668
NC_030932.1,virus,2.03E-05,406.6301389
NC_030933.1,virus,0.000680589,13611.7716
NC_030934.1,virus,0.000154841,3096.821623
NC_030935.1,virus,1.22E-05,243.5186142
NC_030936.1,virus,2.55E-05,510.0106827
NC_030939.1,virus,1.99E-05,397.4407572
NC_030940.1,virus,4.99E-05,997.0479111
NC_030941.1,virus,2.99E-05,597.3098085
NC_030942.1,virus,3.72E-05,744.3399152
NC_030943.1,virus,2.16E-05,431.9009385
NC_030944.1,virus,8.47E-05,1693.143573
NC_030945.1,virus,0.000171382,3427.639363
NC_030946.1,virus,6.29E-05,1258.945289
NC_030947.1,virus,8.75E-05,1750.577208
NC_030948.1,virus,0.000439597,8791.940912
NC_030949.1,virus,0.000193322,3866.432337
NC_030950.1,virus,0.000195734,3914.676591
NC_030951.1,virus,8.08E-05,1615.033828
NC_030953.1,virus,0.000360798,7215.961956
NC_031001.1,virus,5.13E-05,1026.913402
NC_031002.1,virus,2.02E-05,404.3327935
NC_031003.1,virus,4.14E-06,82.70443503
NC_031004.1,virus,2.02E-05,404.3327935
NC_031005.1,virus,1.55E-05,310.1416313
NC_031006.1,virus,0.000254776,5095.512136
NC_031007.1,virus,0.000378143,7562.861114
NC_031008.1,virus,0.000166443,3328.85351
NC_031009.1,virus,0.000118888,2377.752507
NC_031010.1,virus,0.000392559,7851.177964
NC_031011.1,virus,0.00029676,5935.191886
NC_031012.1,virus,0.000170233,3404.665909
NC_031013.1,virus,0.000106941,2138.828584
NC_031014.1,virus,3.93E-05,785.6921327
NC_031015.1,virus,8.94E-05,1787.334735
NC_031016.1,virus,0.000170348,3406.963254
NC_031017.1,virus,0.000119462,2389.239234
NC_031018.1,virus,2.06E-05,411.2248297
NC_031019.1,virus,2.34E-05,467.5097924
NC_031020.1,virus,0.000814868,16297.36839
NC_031021.1,virus,4.47E-05,893.6673674
NC_031022.1,virus,0.000154956,3099.118968
NC_031023.1,virus,6.62E-05,1323.27096
NC_031024.1,virus,0.000276486,5529.71042
NC_031025.1,virus,1.14E-05,227.4371963
NC_031026.1,virus,5.11E-05,1022.318711
NC_031027.1,virus,9.73E-05,1945.851569
NC_031028.1,virus,1.55E-05,310.1416313
NC_031029.1,virus,2.65E-05,530.6867914
NC_031030.1,virus,0.000213998,4279.954513
NC_031031.1,virus,1.95E-05,390.548721
NC_031032.1,virus,0.002576473,51529.45771
NC_031034.1,virus,0.000369413,7388.262862
NC_031035.1,virus,2.84E-05,567.4443181
NC_031036.1,virus,6.78E-05,1355.433796
NC_031037.1,virus,0.000127732,2554.648104
NC_031039.1,virus,0.002309866,46197.319
NC_031040.1,virus,0.000160068,3201.350839
NC_031041.1,virus,1.08E-05,215.9504692
NC_031042.1,virus,0.000275337,5506.736965
NC_031043.1,virus,0.000316344,6326.889279
NC_031044.1,virus,1.77E-05,353.7911943
NC_031045.1,virus,0.000206876,4137.519097
NC_031046.1,virus,5.66E-05,1132.591291
NC_031047.1,virus,0.000270685,5413.694476
NC_031048.1,virus,2.76E-05,551.3629002
NC_031049.1,virus,0.000158976,3179.526058
NC_031050.1,virus,6.11E-05,1222.187762
NC_031051.1,virus,0.000165983,3319.664128
NC_031052.1,virus,2.29E-05,457.1717381
NC_031053.1,virus,4.95E-05,990.1558749
NC_031054.1,virus,6.82E-05,1364.623178
NC_031055.1,virus,0.000251559,5031.186464
NC_031056.1,virus,0.000352068,7041.363704
NC_031057.1,virus,0.000231228,4624.556325
NC_031058.1,virus,6.60E-05,1320.973615
NC_031059.1,virus,1.23E-05,245.8159597
