NCBI accession number,name of the virus,genus of host,family of host,order of host,class of host,phylum of host,domain of host
NC_002185,Streptococcus phage 7201,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_002194,Chlamydia phage 2,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae,bacteria
NC_002214,Streptococcus phage Sfi11,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_002321,Staphylococcus phage PVL,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_002362,Vibrio phage VfO3K6,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_002363,Vibrio phage VfO4K68,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_002371,Enterobacteria phage P22,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_002484,Pseudomonas phage D3,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_002486,Staphylococcus prophage phiPV83,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_002515,Mycoplasma phage P1,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,bacteria
NC_002519,Roseobacter phage SIO1,Roseobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_002628,Methanothermobacter phage psiM100,NA,NA,NA,NA,NA,archaea
NC_002643,Bdellovibrio phage phiMH2K,Bdellovibrio,Bdellovibrionaceae,Bdellovibrionales,Deltaproteobacteria,Proteobacteria,bacteria
NC_002649,Bacillus phage GA-1,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_002656,Mycobacterium phage Bxb1,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_002661,Staphylococcus phage Slt,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_002666,Lactococcus phage bIL285,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_002667,Lactococcus phage bIL286,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_002668,Lactococcus phage bIL309,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_002669,Lactococcus phage bIL310,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_002670,Lactococcus phage bIL311,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_002671,Lactococcus phage bIL312,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_002700,Acinetobacter phage AP205,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_002703,Lactococcus phage Tuc2009,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_002730,Salmonella phage HK620,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_002747,Lactococcus phage TP901-1,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_002796,Lactococcus phage BK5-T,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_003050,Streptococcus phage MM1,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_003085,Myxococcus phage Mx8,Myxococcus,Myxococcaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,bacteria
NC_003157,Temperate phage phiNIH1.1,NA,NA,NA,NA,NA,bacteria
NC_003214,Sulfolobus islandicus filamentous virus,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_003216,Listeria phage A118,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_003278,Pseudomonas phage phiCTX,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_003287,Enterobacteria phage M13,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_003288,Staphylococcus phage phiETA,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_003291,Listeria phage 2389,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_003298,Enterobacteria phage T3,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_003299,          Pseudomonas phage phi8  ,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_003300,          Pseudomonas phage phi8   ,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_003301,          Pseudomonas phage phi8 ,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_003309,Burkholderia phage phiE125,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_003313,Vibrio phage K139,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_003315,Haemophilus phage HP2,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,bacteria
NC_003324,Sinorhizobium phage PBC5,Sinorhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,bacteria
NC_003327,Vibrio phage VSK,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_003345,Halorubrum phage HF2,Halorubrum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,archaea
NC_003356,Enterobacteria phage phiP27,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_003387,Mycobacterium phage TM4,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_003390,Synechococcus phage P60,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_003438,Spiroplasma phage 4,Spiroplasma,Spiroplasmataceae,Entomoplasmatales,Mollicutes,Tenericutes,bacteria
NC_003444,Enterobacteria phage SfV,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_003460,Propionibacterium phage B5,Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,bacteria
NC_003524,Clostridium phage phi3626,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,bacteria
NC_003714,          Pseudomonas phage phi6,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_003715,          Pseudomonas phage phi6 ,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_003716,          Pseudomonas phage phi6 ,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_003793,Spiroplasma phage 1-C74,Spiroplasma,Spiroplasmataceae,Entomoplasmatales,Mollicutes,Tenericutes,bacteria
NC_003907,Vibrio phage VpV262,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004066,Lactococcus phage ul36,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_004084,Natrialba phage PhiCh1,Natrialba,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,archaea
NC_004086,Sulfolobus islandicus rod-shaped virus 2,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_004087,Sulfolobus islandicus rod-shaped virus 1,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_004112,Lactobacillus phage A2,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_004165,Bacillus phage B103,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_004166,Bacillus phage SPP1,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_004167,Bacillus phage phi105,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_004170,          Pseudomonas phage phi13 ,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004171,          Pseudomonas phage phi13 ,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004172,          Pseudomonas phage phi13 ,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004173,          Pseudomonas phage phi12,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004174,Pseudomonas phage phi12,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004175,          Pseudomonas phage phi12,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004301,Enterobacteria phage FI sensu lato,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004302,Lactococcus phage r1t,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_004303,Streptococcus phage O1205,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_004305,Lactobacillus phage phig1e,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_004306,Vibrio phage fs1,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004313,Salmonella phage ST64B,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004333,Burkholderia phage Bcep781,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_004348,Salmonella phage ST64T,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004456,Vibrio phage VHML,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004466,Pseudomonas phage PaP3,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004584,Streptococcus pyogenes phage 315.1,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_004585,Streptococcus pyogenes phage 315.2,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_004586,Streptococcus pyogenes phage 315.3,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_004587,Streptococcus pyogenes phage 315.4,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_004588,Streptococcus pyogenes phage 315.5,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_004589,Streptococcus pyogenes phage 315.6,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_004615,Staphylococcus phage 11,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_004616,Staphylococcus phage Phi12,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_004617,Staphylococcus phage 13,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_004629,Pseudomonas phage phiKZ,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004664,Streptomyces phage phiBT1,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,bacteria
NC_004665,Pseudomonad phage gh-1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004678,Staphylococcus phage 44AHJD,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_004679,Staphylococcus phage P68,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_004680,Mycobacterium phage Che8,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_004681,Mycobacterium phage Cjw1,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_004682,Mycobacterium phage Bxz2,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_004683,Mycobacterium phage Che9c,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_004684,Mycobacterium phage Rosebush,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_004685,Mycobacterium phage Corndog,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_004686,Mycobacterium phage Che9d,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_004687,Mycobacterium phage Bxz1,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_004688,Mycobacterium phage Omega,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_004689,Mycobacterium phage Barnyard,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_004735,Rhodothermus phage RM378,Rhodothermus,Rhodothermaceae,Bacteroidetes Order II. Incertae sedis,,Bacteroidetes,bacteria
NC_004736,Vibrio phage VGJphi,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004740,Staphylococcus phage phiN315,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_004745,Yersinia phage L-413C,Yersinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004746,Lactococcus phage P335 sensu lato,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_004775,Salmonella phage epsilon15,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004777,Yersinia phage phiA1122,Yersinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004813,Enterobacteria phage BP-4795,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004814,Streptococcus phage C1,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_004820,Bacillus phage phBC6A51,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_004821,Bacillus phage phBC6A52,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_004827,Haemophilus phage Aaphi23,Actinobacillus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004831,Enterobacteria phage SP6,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004902,Xanthomonas phage Xp10,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004913,Escherichia Stx1 converting phage,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004914,Stx2 converting phage II,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004927,Halovirus HF1,Haloferax,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,archaea
NC_004928,Enterobacteria phage RB69,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_004996,Streptococcus phage SM1,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_005045,Pseudomonas phage phiKMV,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_005056,Enterobacteria phage WPhi,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_005066,Enterobacteria phage RB49,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_005069,Yersinia phage PY54,Yersinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_005083,Vibrio phage KVP40,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_005091,Burkholderia phage BcepNazgul,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_005131,Ralstonia phage p12J,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_005135,Aeromonas phage 44RR2.8t,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_005178,Pseudomonas phage D3112,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_005258,Bacillus phage Bam35c,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_005260,Aeromonas phage Aeh1,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_005262,Burkholderia phage Bcep22,NA,NA,NA,NA,NA,bacteria
NC_005263,Burkholderia phage Bcep1,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_005265,Sulfolobus spindle-shaped virus 2,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_005282,Salmonella phage FelixO1,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_005284,Burkholderia phage phi1026b,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_005294,Streptococcus phage EJ-1,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_005340,Enterobacteria phage PsP3,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_005342,Burkholderia phage Bcep43,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_005344,Shigella phage Sf6,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_005345,Streptomyces phage VWB,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,bacteria
NC_005354,Lactobacillus prophage Lj928,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_005355,Lactobacillus prophage Lj965,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_005356,Staphylococcus phage 77,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_005357,Bordetella phage BPP-1,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_005360,Sulfolobus virus Ragged Hills,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_005361,Sulfolobus virus Kamchatka 1,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_005822,Lactococcus phage phiLC3,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_005830,Acidianus filamentous virus 1,Acidianus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_005833,Enterobacteria phage T1,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_005841,Enterobacteria phage ST104,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_005856,Enterobacteria phage P1,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
