NCBI accession number,name of the virus,genus of host,family of host,order of host,class of host,phylum of host,domain of host
NC_023552,Mycobacterium phage Donovan,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023553,Mycobacterium phage Echild,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023554,Mycobacterium phage JAMaL,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023555,Edwardsiella phage eiAU-183,Edwardsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023556,Achromobacter phage JWAlpha,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_023557,Erwinia phage Ea35-70,Erwinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023558,Cronobacter phage Dev2,Cronobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023559,Oenococcus phage phi9805,NA,NA,NA,NA,NA,bacteria
NC_023560,Oenococcus phage phiS13,Oenococcus,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_023561,Enterobacter phage PG7,Enterobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023562,Mycobacterium phage BellusTerra,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023563,Mycobacterium phage Suffolk,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023564,Mycobacterium phage EagleEye,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023565,Mycobacterium phage Nyxis,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023566,Rhizobium phage vB_RglS_P106B,Rhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,bacteria
NC_023567,Klebsiella phage F19,NA,NA,NA,NA,NA,bacteria
NC_023568,Vibrio phage VH7D,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023569,Vibrio phage SHOU24,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023570,Acinetobacter phage Petty,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023571,Oenococcus phage phiS11,Oenococcus,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_023572,Mycobacterium phage MichelleMyBell,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023573,Staphylococcus phage phiSA012,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_023574,Lactococcus phage phiL47,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_023575,Pseudomonas phage vB_PaeP_Tr60_Ab31,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023576,Citrobacter phage CR44b,Citrobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023577,Mycobacterium phage Obama12,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023578,Mycobacterium phage Oaker,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023579,Erwinia phage Ea9-2,Erwinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023580,Mycobacterium phage Saal,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023581,Acinetobacter phage Presley,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023582,Staphylococcus phage vB_SepS_SEP9,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_023583,Pseudomonas phage TL,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023584,Synechococcus phage S-MbCM100,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_023586,Ralstonia phage 1 NP-2014,NA,NA,NA,NA,NA,bacteria
NC_023587,Synechococcus phage ACG-2014h,Synechococcus,,Chroococcales,,Cyanobacteria,bacteria
NC_023588,Stenotrophomonas phage Smp131,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023589,Shigella phage pSb-1,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023590,Acinetobacter phage IME_AB3,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023591,Mycobacterium phage Adler,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023592,Haloarcula hispanica pleomorphic virus 2,Haloarcula,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,bacteria
NC_023593,Escherichia phage KBNP1711,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023594,Shewanella phage Spp001,Shewanella,Shewanellaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023595,Enterococcus phage IME_EF3,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_023597,Mycobacterium phage 20ES,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023599,Bacillus phage phiCM3,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_023600,Mycobacterium phage Jolie1,NA,NA,NA,NA,NA,bacteria
NC_023601,Pseudomonas phage phiPsa374,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023602,Mycobacterium phage 32HC,NA,NA,NA,NA,NA,bacteria
NC_023603,Mycobacterium phage 39HC,NA,NA,NA,NA,NA,bacteria
NC_023604,Mycobacterium phage Jolie2,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023605,Vibrio phage PVA1,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023606,Mycobacterium phage CRB1,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023607,Mycobacterium phage 40AC,NA,NA,NA,NA,NA,bacteria
NC_023608,Salmonella phage vB_SenS-Ent2,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023609,Mycobacterium phage RhynO,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023610,Erwinia phage PhiEaH1,Erwinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023612,Geobacillus phage GBK2,Geobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_023614,Croceibacter phage P2559Y,Croceibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,bacteria
NC_023686,Mycobacterium phage Gadjet,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023687,Mycobacterium phage Bruns,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023688,Aeromonas phage PX29,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023689,Mycobacterium phage Lilac,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023690,Mycobacterium phage Courthouse,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023691,Mycobacterium phage Patience,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023692,Mycobacterium phage BigNuz,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023694,Rhodococcus phage ReqiPoco6,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023695,Mycobacterium phage Violet,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023696,Mycobacterium phage Dandelion,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023697,Mycobacterium phage Babsiella,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023698,Mycobacterium phage Avani,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023699,Mycobacterium phage SG4,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023700,Pseudomonas phage PA1phi,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023701,Mycobacterium phage Acadian,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023702,Mycobacterium phage Kugel,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023703,Mycobacterium phage Dori,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023704,Mycobacterium phage Doom,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023705,Mycobacterium phage Liefie,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023706,Rhodococcus phage ReqiDocB7,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023707,Mycobacterium phage Turbido,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023708,Mycobacterium phage Dreamboat,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023709,Mycobacterium phage Wile,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023710,Mycobacterium phage RidgeCB,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023711,Mycobacterium phage Oline,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023712,Mycobacterium phage Firecracker,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023713,Mycobacterium phage Blue7,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023714,Mycobacterium phage LinStu,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023715,Yersinia phage Yep-phi,Yersinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023716,Mycobacterium phage Alma,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023717,Cronobacter phage CR9,Cronobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023718,Pseudomonas phage phiPto-bp6g,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023719,Bacillus phage G,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_023720,Mycobacterium phage Perseus,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023721,Mycobacterium phage Drago,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023722,Rhodococcus phage ReqiPine5,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023723,Mycobacterium phage Aeneas,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023724,Mycobacterium phage Larva,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023725,Mycobacterium phage Nappy,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023726,Mycobacterium phage Euphoria,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023727,Mycobacterium phage Vista,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023728,Mycobacterium phage DeadP,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023729,Mycobacterium phage Charlie,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023730,Mycobacterium phage Redi,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023731,Mycobacterium phage Trixie,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023732,Mycobacterium phage Rumpelstiltskin,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023733,Mycobacterium phage MoMoMixon,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023734,Psychrobacter phage Psymv2,Psychrobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023735,Rhodococcus phage ReqiPepy6,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023736,Ralstonia phage RSB2,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,bacteria
NC_023737,Mycobacterium phage Pleione,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023738,Mycobacterium phage Thibault,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023739,Mycobacterium phage BillKnuckles,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023740,Mycobacterium phage JacAttac,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023741,Mycobacterium phage Stinger,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023742,Mycobacterium phage Akoma,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023743,Escherichia phage EB49,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023744,Mycobacterium phage DS6A,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023746,Mycobacterium phage GUmbie,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023747,Mycobacterium phage BarrelRoll,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023748,Mycobacterium phage SkiPole,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023856,Salmonella phage vB_SalM_SJ2,NA,NA,NA,NA,NA,bacteria
NC_023859,Microbacterium phage vB_MoxS-ISF9,Microbacterium,Microbacteriaceae,Micrococcales,Actinobacteria,Actinobacteria,bacteria
NC_023862,Mycobacterium phage Alsfro,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023863,Vibrio phage CHOED,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023865,Pectobacterium phage PM1,Pectobacterium,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024121,Serratia phage PS2,Serratia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024122,Salmonella phage vB_SalM_SJ3,NA,NA,NA,NA,NA,bacteria
NC_024123,Pseudomonas phage KPP25,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024124,Escherichia phage vB_EcoM_JS09,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024125,Escherichia phage e11/2,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024134,Escherichia phage vB_EcoM_FFH2,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024135,Mycobacterium phage Bernal13,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_024136,Mycobacterium phage Seabiscuit,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_024137,Bacillus phage Bcp1,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_024138,Mycobacterium phage MosMoris,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_024139,Escherichia phage vB_EcoS_FFH1,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024140,Pseudomonas phage vB_PaeP_C2-10_Ab09,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024141,Mycobacterium phage Kampy,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_024142,Enterobacteria phage Bp4,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024143,Mycobacterium phage Lamina13,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_024144,Clostridium phage CDMH1,NA,NA,NA,NA,NA,bacteria
NC_024145,Mycobacterium phage Hosp,NA,NA,NA,NA,NA,bacteria
NC_024146,Enterobacteria phage 9g,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024147,Mycobacterium phage ZoeJ,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_024148,Mycobacterium phage Phantastic,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_024149,Lactoccocus phage WP-2,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_024203,Lactococcus phage P092,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_024204,Salmonella phage vB_SenS-Ent3,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024205,Bacillus phage Hoody T,NA,NA,NA,NA,NA,bacteria
NC_024207,Bacillus phage Evoli,NA,NA,NA,NA,NA,bacteria
NC_024208,Lactococcus phage P118,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_024209,Mycobacterium phage Hawkeye,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_024210,Escherichia phage e4/1c,NA,NA,NA,NA,NA,bacteria
NC_024211,Bacillus phage Megatron,NA,NA,NA,NA,NA,bacteria
NC_024212,Enterococcus phage VD13,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_024213,Bacillus phage Hakuna,NA,NA,NA,NA,NA,bacteria
NC_024214,Lactococcus phage P162,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_024215,Lactococcus phage P078,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_024216,Bacillus phage CAM003,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_024217,Nitrincola phage 1M3-16,Nitrincola,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024330,Pseudomonas phage JD024,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024354,Cronobacter phage CR8,Cronobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024355,Staphylococcus phage 6ec,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_024356,Enterococcus phage IME-EFm1,NA,NA,NA,NA,NA,bacteria
NC_024357,Streptococcus phage K13,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_024358,Anabaena phage A-4L,Anabaena,Nostocaceae,Nostocales,,Cyanobacteria,bacteria
NC_024359,Listeria phage LP-048,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_024360,Listeria phage LMSP-25,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_024361,Streptococcus phage DCC1738,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_024362,Pseudomonas phage phiPSA2,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024363,Mycobacterium phage Manad,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_024364,Listeria phage List-36,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_024365,Pseudomonas phage phiPSA1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024366,Mycobacterium phage OkiRoe,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_024367,Dinoroseobacter phage DFL12phi1,Dinoroseobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,bacteria
NC_024368,Mycobacterium phage Pinto,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_024369,Vibrio phage X29,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024370,Streptococcus phage IC1,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_024371,Mycobacterium phage Damien,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_024375,Listeria phage LP-026,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_024378,Leuconostoc phage phiLNTR3,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_024379,Escherichia phage PE3-1,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024380,Leuconostoc phage phiLN6B,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_024381,Pseudomonas phage vB_PaeS_SCH_Ab26,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024383,Listeria phage LP-083-2,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_024384,Listeria phage LP-030-3,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_024385,Leuconostoc phage phiLN12,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_024386,Leuconostoc phage phiLN25,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_024387,Listeria phage LP-101,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_024388,Leuconostoc phage phiLN34,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_024389,Leuconostoc phage phiLNTR2,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_024390,Leuconostoc phage phiLN03,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_024391,Staphylococcus phage DW2,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_024392,Listeria phage LP-114,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_024711,uncultured phage crAssphage,unclassified,NA,NA,NA,NA,bacteria
NC_024782,Pseudomonas phage MP48,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024783,Enterobacteria phage EK99P-1,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_024784,Escherichia phage bV_EcoS_AHS24,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
