NCBI accession number,name of host,genus,family,order,class,phylum,domain
NC_002937.3,Desulfovibrio vulgaris str. Hildenborough,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria
NC_002696.2,Caulobacter crescentus CB15,Caulobacter,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_002940.2,Haemophilus ducreyi 35000HP,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_003030.1,Clostridium acetobutylicum ATCC 824,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
NC_003869.1,Caldanaerobacter subterraneus subsp. tengcongensis MB4,Caldanaerobacter,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria
NC_003062.2,Agrobacterium fabrum str. C58,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_002695.1,Escherichia coli O157:H7 str. Sakai,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
AE017262.2,Listeria monocytogenes serotype 4b str. F2365,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_024996.1,Shigella flexneri 5a str. M90T,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_003364.1,Pyrobaculum aerophilum str. IM2,Pyrobaculum,Thermoproteaceae,Thermoproteales,Thermoprotei,Crenarchaeota,Archaea
NC_002689.2,Thermoplasma volcanium GSS1,Thermoplasma,Thermoplasmataceae,Thermoplasmatales,Thermoplasmata,Euryarchaeota,Archaea
NC_000961.1,Pyrococcus horikoshii OT3,Pyrococcus,Thermococcaceae,Thermococcales,Thermococci,Euryarchaeota,Archaea
NC_000854.2,Aeropyrum pernix K1,Aeropyrum,Desulfurococcaceae,Desulfurococcales,Thermoprotei,Crenarchaeota,Archaea
NC_003106.2,Sulfolobus tokodaii str. 7,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
NC_003901.1,Methanosarcina mazei Go1,Methanosarcina,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea
NC_002163.1,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
NC_003143.1,Yersinia pestis CO92,Yersinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_003210.1,Listeria monocytogenes EGD-e,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_002944.2,Mycobacterium avium subsp. paratuberculosis K-10,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_002945.3,Mycobacterium bovis AF2122/97,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_003295.1,Ralstonia solanacearum GMI1000,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_003919.1,Xanthomonas axonopodis pv. citri str. 306,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_002971.3,Coxiella burnetii RSA 493,Coxiella,Coxiellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_002950.2,Porphyromonas gingivalis W83,Porphyromonas,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
NC_000963.1,Rickettsia prowazekii str. Madrid E,Rickettsia,Rickettsiaceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_002677.1,Mycobacterium leprae TN,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_003047.1,Sinorhizobium meliloti 1021,Sinorhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_002929.2,Bordetella pertussis Tohama I,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_002678.2,Mesorhizobium loti MAFF303099,Mesorhizobium,Phyllobacteriaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_002977.6,Methylococcus capsulatus str. Bath,Methylococcus,Methylococcaceae,Methylococcales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_003103.1,Rickettsia conorii str. Malish 7,Rickettsia,Rickettsiaceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_002935.2,Corynebacterium diphtheriae NCTC 13129,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_002771.1,Mycoplasma pulmonis UAB CTIP,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
NC_002936.3,Dehalococcoides mccartyi 195,Dehalococcoides,Dehalococcoidaceae,Dehalococcoidales,Dehalococcoidia,Chloroflexi,Bacteria
NC_002570.2,Bacillus halodurans C-125,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_003155.4,Streptomyces avermitilis MA-4680 = NBRC 14893,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
NC_003272.1,Nostoc sp. PCC 7120,Nostoc,Nostocaceae,Nostocales,,Cyanobacteria,Bacteria
NC_002928.3,Bordetella parapertussis 12822,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_003116.1,Neisseria meningitidis Z2491,Neisseria,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria
NC_002755.2,Mycobacterium tuberculosis CDC1551,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_003198.1,Salmonella enterica subsp. enterica serovar Typhi str. CT18,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_003228.3,Bacteroides fragilis NCTC 9343,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
NC_003212.1,Listeria innocua Clip11262,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_002927.3,Bordetella bronchiseptica RB50,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_002745.2,Staphylococcus aureus subsp. aureus N315,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_002758.2,Staphylococcus aureus subsp. aureus Mu50,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_002952.2,Staphylococcus aureus subsp. aureus MRSA252,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_002953.3,Staphylococcus aureus subsp. aureus MSSA476,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_002951.2,Staphylococcus aureus subsp. aureus COL,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_002754.1,Sulfolobus solfataricus P2,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
NC_002578.1,Thermoplasma acidophilum DSM 1728,Thermoplasma,Thermoplasmataceae,Thermoplasmatales,Thermoplasmata,Euryarchaeota,Archaea
NC_000868.1,Pyrococcus abyssi GE5,Pyrococcus,Thermococcaceae,Thermococcales,Thermococci,Euryarchaeota,Archaea
NZ_AAAC02000001.1,Bacillus anthracis str. A2012,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_004461.1,Staphylococcus epidermidis ATCC 12228,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_002947.3,Pseudomonas putida KT2440,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_004342.2,Leptospira interrogans serovar Lai str. 56601,Leptospira,Leptospiraceae,,Spirochaetia,Spirochaetes,Bacteria
NC_004337.2,Shigella flexneri 2a str. 301,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_004116.1,Streptococcus agalactiae 2603V/R,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_004307.2,Bifidobacterium longum NCC2705,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_003454.1,Fusobacterium nucleatum subsp. nucleatum ATCC 25586,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteria,Bacteria
NC_004350.2,Streptococcus mutans UA159,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_002967.9,Treponema denticola ATCC 35405,Treponema,Spirochaetaceae,Spirochaetales,Spirochaetia,Spirochaetes,Bacteria
NC_002939.5,Geobacter sulfurreducens PCA,Geobacter,Geobacteraceae,Desulfuromonadales,Deltaproteobacteria,Proteobacteria,Bacteria
NC_002978.6,Wolbachia endosymbiont of Drosophila melanogaster,Wolbachia,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_004344.2,Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis,Wigglesworthia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_004193.1,Oceanobacillus iheyensis HTE831,Oceanobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_003910.7,Colwellia psychrerythraea 34H,Colwellia,Colwelliaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_002932.3,Chlorobium tepidum TLS,Chlorobaculum,Chlorobiaceae,Chlorobiales,Chlorobia,Chlorobi,Bacteria
NC_004369.1,Corynebacterium efficiens YS-314,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_004347.2,Shewanella oneidensis MR-1,Shewanella,Shewanellaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_004113.1,Thermosynechococcus elongatus BP-1,Thermosynechococcus,,Chroococcales,,Cyanobacteria,Bacteria
NC_004463.1,Bradyrhizobium diazoefficiens USDA 110,Bradyrhizobium,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_004129.6,Pseudomonas protegens Pf-5,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
AE014075.1,Escherichia coli CFT073,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
AAAL02,Xylella fastidiosa Dixon,Xylella,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_003413.1,Pyrococcus furiosus DSM 3638,Pyrococcus,Thermococcaceae,Thermococcales,Thermococci,Euryarchaeota,Archaea
NC_003552.1,Methanosarcina acetivorans C2A,Methanosarcina,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea
NC_003551.1,Methanopyrus kandleri AV19,Methanopyrus,Methanopyraceae,Methanopyrales,Methanopyri,Euryarchaeota,Archaea
NC_003997.3,Bacillus anthracis str. Ames,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_004432.1,Mycoplasma penetrans HF-2,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
NC_003361.3,Chlamydophila caviae GPIC,Chlamydophila,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae,Bacteria
NC_003888.3,Streptomyces coelicolor A3(2),Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
NC_003911.12,Ruegeria pomeroyi DSS-3,Ruegeria,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_004459.3,Vibrio vulnificus CMCP6,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_004061.1,Buchnera aphidicola str. Sg (Schizaphis graminum),Buchnera,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_003485.1,Streptococcus pyogenes MGAS8232,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_002976.3,Staphylococcus epidermidis RP62A,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_004088.1,Yersinia pestis KIM10+,Yersinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_003912.7,Campylobacter jejuni RM1221,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
NC_004070.1,Streptococcus pyogenes MGAS315,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_003909.8,Bacillus cereus ATCC 10987,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_003923.1,Staphylococcus aureus subsp. aureus MW2,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_004368.1,Streptococcus agalactiae NEM316,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AABF01,Fusobacterium nucleatum subsp. vincentii ATCC 49256,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteria,Bacteria
NC_005042.1,Prochlorococcus marinus subsp. marinus str. CCMP1375,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,Bacteria
NC_004603.1,Vibrio parahaemolyticus RIMD 2210633,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_004668.1,Enterococcus faecalis V583,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_004663.1,Bacteroides thetaiotaomicron VPI-5482,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
NC_004829.2,Mycoplasma gallisepticum str. R(low),Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
AACR01,Pasteuria nishizawae str. North American,Pasteuria,Pasteuriaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_005125.1,Gloeobacter violaceus PCC 7421,Gloeobacter,,Gloeobacterales,Gloeobacteria,Cyanobacteria,Bacteria
NC_005303.2,Onion yellows phytoplasma OY-M,Candidatus Phytoplasma,Acholeplasmataceae,Acholeplasmatales,Mollicutes,Tenericutes,Bacteria
AE014073.1,Shigella flexneri 2a str. 2457T,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
AE014613.1,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_004556.1,Xylella fastidiosa Temecula1,Xylella,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_005213.1,Nanoarchaeum equitans Kin4-M,Nanoarchaeum,,,,Nanoarchaeota,Archaea
NC_004722.1,Bacillus cereus ATCC 14579,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_004572.3,Tropheryma whipplei str. Twist,Tropheryma,,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
NC_005139.1,Vibrio vulnificus YJ016,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_004757.1,Nitrosomonas europaea ATCC 19718,Nitrosomonas,Nitrosomonadaceae,Nitrosomonadales,Betaproteobacteria,Proteobacteria,Bacteria
NC_004547.2,Pectobacterium atrosepticum SCRI1043,Pectobacterium,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_005027.1,Rhodopirellula baltica SH 1,Rhodopirellula,Planctomycetaceae,Planctomycetales,Planctomycetia,Planctomycetes,Bacteria
NC_004557.1,Clostridium tetani E88,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
NC_004552.2,Chlamydophila abortus S26/3,Chlamydophila,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae,Bacteria
NC_004567.2,Lactobacillus plantarum WCFS1,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_004917.1,Helicobacter hepaticus ATCC 51449,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
NC_005061.1,Candidatus Blochmannia floridanus,Candidatus Blochmannia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_005090.1,Wolinella succinogenes DSM 1740,Wolinella,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
NC_005085.1,Chromobacterium violaceum ATCC 12472,Chromobacterium,Chromobacteriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria
NZ_AABW01000001.1,Rickettsia sibirica 246,Rickettsia,Rickettsiaceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_005126.1,Photorhabdus luminescens subsp. laumondii TTO1,Photorhabdus,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_004578.1,Pseudomonas syringae pv. tomato str. DC3000,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_004842.2,Anaplasma marginale str. St. Maries,Anaplasma,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_005043.1,Chlamydophila pneumoniae TW-183,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae,Bacteria
NC_005072.1,Prochlorococcus marinus subsp. pastoris str. CCMP1986,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,Bacteria
NC_004551.1,Tropheryma whipplei TW08/27,Tropheryma,,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
NC_005071.1,Prochlorococcus marinus str. MIT 9313,Prochlorococcus,Prochlorococcaceae,Prochlorales,,Cyanobacteria,Bacteria
NC_004545.1,Buchnera aphidicola str. Bp (Baizongia pistaciae),Buchnera,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_005296.1,Rhodopseudomonas palustris CGA009,Rhodopseudomonas,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_004606.1,Streptococcus pyogenes SSI-1,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_005070.1,Synechococcus sp. WH 8102,Synechococcus,,Chroococcales,,Cyanobacteria,Bacteria
AADR01,Listeria monocytogenes serotype 4b str. H7858,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_006347.1,Bacteroides fragilis YCH46,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
NC_006461.1,Thermus thermophilus HB8,Thermus,Thermaceae,Thermales,Deinococci,Deinococcus-Thermus,Bacteria
NC_006348.1,Burkholderia mallei ATCC 23344,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
NC_005957.1,Bacillus thuringiensis serovar konkukian str. 97-27,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_006526.2,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,Zymomonas,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_006087.1,Leifsonia xyli subsp. xyli str. CTCB07,Leifsonia,Microbacteriaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
NC_006055.1,Mesoplasma florum L1,Mesoplasma,Entomoplasmataceae,Entomoplasmatales,Mollicutes,Tenericutes,Bacteria
NC_006361.1,Nocardia farcinica IFM 10152,Nocardia,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_005773.3,Pseudomonas savastanoi pv. phaseolicola 1448A,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_006511.1,Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
AAFA03,Streptococcus suis 89/1591,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
AAEN01,Bacillus anthracis str. CNEVA-9066,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AAEO01,Bacillus anthracis str. A1055,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AAEQ01,Bacillus anthracis str. Kruger B,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AAER01,Bacillus anthracis str. Western North America USA6153,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AAES01,Bacillus anthracis str. Australia 94,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AADQ01,Listeria monocytogenes serotype 1/2a str. F6854,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_006396.1,Haloarcula marismortui ATCC 43049,Haloarcula,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea
NC_005877.1,Picrophilus torridus DSM 9790,Picrophilus,Picrophilaceae,Thermoplasmatales,Thermoplasmata,Euryarchaeota,Archaea
NC_006448.1,Streptococcus thermophilus LMG 18311,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_005364.2,Mycoplasma mycoides subsp. mycoides SC str. PG1,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
NC_005956.1,Bartonella henselae str. Houston-1,Bartonella,Bartonellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_006085.1,Propionibacterium acnes KPA171202,Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Bacteria
AADV02,Crocosphaera watsonii WH 8501,Crocosphaera,,Chroococcales,,Cyanobacteria,Bacteria
NC_005861.1,Candidatus Protochlamydia amoebophila UWE25,Candidatus Protochlamydia,Parachlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae,Bacteria
NC_006138.1,Desulfotalea psychrophila LSv54,Desulfotalea,Desulfobulbaceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria
NC_006300.1,Mannheimia succiniciproducens MBEL55E,Basfia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_006370.1,Photobacterium profundum SS9,Photobacterium,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_006513.1,Aromatoleum aromaticum EbN1,Aromatoleum,Rhodocyclaceae,Rhodocyclales,Betaproteobacteria,Proteobacteria,Bacteria
NC_006582.1,Bacillus clausii KSM-K16,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_005362.1,Lactobacillus johnsonii NCC 533,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_006142.1,Rickettsia typhi str. Wilmington,Rickettsia,Rickettsiaceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_006908.1,Mycoplasma mobile 163K,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
NC_006512.1,Idiomarina loihiensis L2TR,Idiomarina,Idiomarinaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_006177.1,Symbiobacterium thermophilum IAM 14863,Symbiobacterium,Symbiobacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
NC_006510.1,Geobacillus kaustophilus HTA426,Geobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_006156.1,Borrelia garinii PBi,Borrelia,Borreliaceae,Spirochaetales,Spirochaetia,Spirochaetes,Bacteria
NC_005966.1,Acinetobacter sp. ADP1,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
