NCBI accession number,name of the virus,name of the host,genus of host,family of host,order of host,class of host,phylum of host,domain of host
NC_031905,"Flavobacterium phage Fpv7, complete genome",Flavobacterium psychrophilum 950106-1/1,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NC_031919,"Flavobacterium phage Fpv8, complete genome",Flavobacterium psychrophilum 950106-1/1,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NC_031936,"Gordonia phage GAL1, complete genome",Gordonia alkanivorans strain CON72,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031917,"Pseudoalteromonas phage BS5, complete genome",Pseudoalteromonas atlantica,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031908,"Pseudoalteromonas phage PH1, complete genome",Pseudoalteromonas marina mano4,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031902,"Salmonella phage 100268_sal2, complete genome",Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031946,"Salmonella Phage 103203_sal5, complete genome",Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031930,"Salmonella phage 118970_sal1, complete genome",Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031933,"Salmonella phage 118970_sal2, complete genome",Salmonella enterica subsp. Enteritidis,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031940,"Salmonella phage 118970_sal3, complete genome",Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031918,"Salmonella phage 64795_sal3, complete genome",Salmonella enterica subsp. Typhimurium,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031925,"Salmonella phage BPS11Q3, complete genome",Salmonella enterica subsp. enterica serovar,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031939,"Salmonella phage BPS15Q2, complete genome",Salmonella enterica subsp. enterica serovar,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031924,"Salmonella phage IME207, complete genome",Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031920,"Streptococcus phage phiARI0004, complete genome",Streptococcus pneumoniae 08B01757,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031910,"Streptococcus phage phiARI0031, complete genome",Streptococcus pneumoniae 08B08535,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031901,"Streptococcus phage phiARI0131-1, complete genome",Streptococcus pneumoniae 09B07772,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031941,"Streptococcus phage phiARI0131-2, complete genome",Streptococcus pneumoniae 10B01058,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031913,"Streptococcus phage phiARI0460-1, complete genome",Streptococcus pneumoniae 08B03577,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031942,"Streptococcus phage phiARI0462, complete genome",Streptococcus pneumoniae 09B05356,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031929,"Streptococcus phage phiARI0468-1, complete genome",Streptococcus pneumoniae 08B06220,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031923,"Streptococcus phage phiARI0468-2, complete genome",Streptococcus pneumoniae 08B07540,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031915,"Streptococcus phage phiARI0468-4, complete genome",Streptococcus pneumoniae 09B10874,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031907,"Streptococcus phage phiARI0746, complete genome",Streptococcus pneumoniae 10B04751,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031903,"Synechococcus phage S-CAM22 isolate 1209TA19, complete genome",Synechococcus sp.,Synechococcus,Synechococcaceae,Synechococcales,NA,Cyanobacteria,Bacteria
NC_031906,"Synechococcus phage S-CAM3 isolate 1010CC42, complete genome",Synechococcus sp.,Synechococcus,Synechococcaceae,Synechococcales,NA,Cyanobacteria,Bacteria
NC_031900,"Synechococcus phage S-CAM4 isolate 0809SB33, complete genome",Synechococcus sp.,Synechococcus,Synechococcaceae,Synechococcales,NA,Cyanobacteria,Bacteria
NC_031927,"Synechococcus phage S-CAM7 isolate 0910CC49, complete genome",Synechococcus sp.,Synechococcus,Synechococcaceae,Synechococcales,NA,Cyanobacteria,Bacteria
NC_031922,"Synechococcus phage S-CAM9 isolate 1109NB16, complete genome",Synechococcus sp.,Synechococcus,Synechococcaceae,Synechococcales,NA,Cyanobacteria,Bacteria
NC_031944,"Synechococcus phage S-WAM1 isolate 0810PA09, complete genome",Synechococcus sp.,Synechococcus,Synechococcaceae,Synechococcales,NA,Cyanobacteria,Bacteria
NC_031935,"Synechococcus phage S-WAM2 isolate 0810PA29, complete genome",Synechococcus sp.,Synechococcus,Synechococcaceae,Synechococcales,NA,Cyanobacteria,Bacteria
NC_031280,"Acinetobacter phage vB_AbaM_phiAbaA1, complete genome",Acinetobacter baumannii Acb8/09,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031252,"Arthrobacter phage BarretLemon, complete genome",Arthrobacter sp. ATCC 21022,Arthrobacter,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
NC_031231,"Arthrobacter phage KellEzio, complete genome",Arthrobacter sp. ATCC 21022,Arthrobacter,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
NC_031254,"Arthrobacter phage Kitkat, complete genome",Arthrobacter sp. ATCC 21022,Arthrobacter,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
NC_031224,"Arthrobacter phage Mudcat, complete genome",Arthrobacter sp. ATCC 21022,Arthrobacter,Micrococcaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
NC_031245,"Bacillus phage SP-15, complete genome",Bacillus subtilis W-23-S(r); Bacillus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_031264,"Brucella phage BiPBO1, complete genome",Brucella inopinata strain BO1,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
NC_031235,"Cyanophage S-RIM32 isolate RW_108_0702, complete genome",Synechococcus sp.,Synechococcus,Synechococcaceae,Synechococcales,NA,Cyanobacteria,Bacteria
NC_031242,"Cyanophage S-RIM50 isolate RW_29_0704, complete genome",Synechococcus sp.,Synechococcus,Synechococcaceae,Synechococcales,NA,Cyanobacteria,Bacteria
NC_031260,"Enterococcus phage Ec-ZZ2, complete genome",Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031226,"Gordonia phage BaxterFox, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031247,"Gordonia phage BetterKatz, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031234,"Gordonia phage Emalyn, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031265,"Gordonia phage Guacamole, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031229,"Gordonia phage Hotorobo, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031233,"Gordonia phage Kita, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031267,"Gordonia phage Lucky10, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031237,"Gordonia phage Obliviate, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031255,"Gordonia phage Schwabeltier, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031251,"Gordonia phage SoilAssassin, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031249,"Gordonia phage UmaThurman, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031239,"Gordonia phage Vivi2, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031269,"Gordonia phage Yeezy, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031230,"Gordonia phage Yvonnetastic, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031246,"Klebsiella phage vB_KpnP_KpV71, complete genome",Klebsiella pneumoniae B-7850,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031277,"Mycobacterium phage ArcherNM, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031279,"Mycobacterium phage Bactobuster, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031253,"Mycobacterium phage Bipper, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031262,"Mycobacterium phage Brocalys, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031238,"Mycobacterium phage Catalina, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031263,"Mycobacterium phage EvilGenius, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031256,"Mycobacterium phage Loser, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031257,"Mycobacterium phage Mulciber, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031281,"Mycobacterium phage Panchino, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031266,"Mycobacterium phage Phrann, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031261,"Mycobacterium phage Shipwreck, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031243,"Mycobacterium phage Xeno, complete genome",Mycobacterium smegmatis mc2 155,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031274,"Pseudomonas phage O4, complete genome",Pseudomonas aeruginosa PAO1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031258,"Salmonella phage BP12A, complete genome",Salmonella enterica Hadar,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031271,"Salmonella phage BP12B, complete genome",Salmonella enterica Hadar,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031228,"Salmonella phage BP12C, complete genome",Salmonella enterica Hadar,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031250,"Salmonella phage BP63, complete genome",Salmonella enterica Infantis,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031241,"Staphylococcus phage CNPx, complete genome",Staphylococcus epidermidis LM1680,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_031098,"Acinetobacter phage vB_AbaS_TRS1, complete genome",Acinetobacter baumannii A118,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031117,"Acinetobacter phage LZ35, complete genome",Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031086,"Acinetobacter phage phiAB6, complete genome",Acinetobacter baumannii 54149,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031039,"Bacillus phage AR9, complete genome",Bacillus subtilis subsp. subtilis 168,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_031121,"Bacillus phage Aurora, complete genome",Bacillus thuringiensis subspecies kurstaki,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_031024,"Bacillus phage Belinda, complete genome",Bacillus thuringiensis DSM350,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_031015,"Bacillus phage Claudi, complete genome",Bacillus thuringiensis subspecies kurstaki,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_031006,"Bacillus phage DIGNKC, complete genome",Bacillus thuringiensis subsp. kurstaki,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_031056,"Bacillus phage Deep Blue, complete genome",Bacillus cereus BtB2-4,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_031054,"Bacillus phage DirtyBetty, complete genome",Bacillus thuringiensis subspecies kurstaki,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_031012,"Bacillus phage Kida, complete genome",Bacillus thuringiensis subspecies kurstaki,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_031070,"Bacillus phage Nemo, complete genome",Bacillus thuringiensis subsp. kurstaki,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_031037,"Bacillus phage Nigalana, complete genome",Bacillus thuringiensis subsp. kurstaki,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_031049,"Bacillus phage NotTheCreek, complete genome",Bacillus thuringiensis subsp. kurstaki,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_031055,"Bacillus phage PfEFR-5, complete genome",Bacillus cereus EFR-5,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_031100,"Bacillus phage Phrodo, complete genome",Bacillus thuringiensis subsp. kurstaki,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_031027,"Bacillus phage SageFayge, complete genome",Bacillus thuringiensis subsp. kurstaki,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_031034,"Bacillus phage SalinJah, complete genome","Bacillus thuringiensis Berliner 1915, DSM 350",Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_031032,"Bacillus phage Stitch, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_031116,"Bacillus phage Zuko, complete genome",Bacillus thuringiensis subsp. kurstaki,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
NC_031066,"Citrobacter phage SH1, complete genome",Citrobacter freundii CF5,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031092,"Citrobacter phage SH2, complete genome",Citrobacter freundii CF5,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031123,"Citrobacter phage SH3, complete genome",Citrobacter freundii CF3,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031018,"Citrobacter phage SH4, complete genome",Citrobacter freundii CF3,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031057,"Citrobacter phage vB_CfrM_CfP1, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_031048,"Enterobacter phage Arya, complete genome",Enterobacter sp. CT7,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031077,"Enterobacter phage Tyrion, complete genome",Enterobacter sp. CT7,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031019,"Enterobacteria phage UAB_Phi20, complete genome",Salmonella enterica subsp. enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031050,"Enterobacteria phage vB_EcoS_NBD2, complete genome",Escherichia coli NovaBlue,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031051,"Enterococcus phage SANTOR1, complete genome",Enterococcus faecalis ATCC 19433,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_031107,"Erwinia phage vB_EamM_Asesino, complete genome",Erwinia amylovora ATCC 29780,Erwinia,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031120,"Erwinia phage vB_EamM_Caitlin, complete genome",Erwinia amylovora ATCC 29780,Erwinia,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031126,"Erwinia phage vB_EamM_ChrisDB, complete genome",Erwinia amylovora ATCC 29780,Erwinia,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031007,"Erwinia phage vB_EamM_EarlPhillipIV, complete genome",Erwinia amylovora ATCC 29780,Erwinia,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031127,"Erwinia phage vB_EamM_Huxley, complete genome",Erwinia amylovora ATCC 29780,Erwinia,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031010,"Erwinia phage vB_EamM_Kwan, complete genome",Erwinia amylovora ATCC 29780,Erwinia,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031043,"Erwinia phage vB_EamM_Phobos, complete genome",Erwinia amylovora ATCC 29780,Erwinia,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031062,"Erwinia phage vB_EamP_Frozen, complete genome",NA,NA,NA,NA,NA,NA,NA
NC_031114,"Escherichia phage 64795_ec1, complete genome",Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031081,"Escherichia phage Envy, complete genome",Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031113,"Escherichia phage Gluttony, complete genome",Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031047,"Escherichia phage HY03, complete genome",Escherichia coli O157:H7 ATCC 43890,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031030,"Escherichia phage UFV-AREG1, complete genome",Escherichia coli O157,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031103,"Escherichia phage vB_EcoM-UFV13, complete genome",Escherichia coli UFV30,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031082,"Escherichia phage vB_EcoM_Alf5, complete genome",Escherichia coli K12,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031074,"Gordonia phage Bantam, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031072,"Gordonia phage CaptainKirk2, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031118,"Gordonia phage CarolAnn, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031029,"Gordonia phage Cucurbita, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031122,"Gordonia phage Eyre, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031028,"Gordonia phage Ghobes, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031099,"Gordonia phage Hedwig, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031060,"Gordonia phage JSwag, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031109,"Gordonia phage Jumbo, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031004,"Gordonia phage Nyceirae, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031061,"Gordonia phage Nymphadora, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031112,"Gordonia phage Phinally, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031031,"Gordonia phage Remus, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031001,"Gordonia phage Terapin, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031052,"Gordonia phage Twister6, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031097,"Gordonia phage Zirinka, complete genome",Gordonia terrae 3612,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
NC_031025,"Klebsiella phage vB_KpnP_KpV475, complete genome",Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031095,"Klebsiella phage PKO111, complete genome",Klebsiella oxytoca ATCC 43863,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031053,"Klebsiella phage PKP126, complete genome",Klebsiella pneumoniae KCTC 2242,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031087,"Klebsiella phage vB_KpnM_KpV477, complete genome",Klebsiella pneumoniae KPB463,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031036,"Lactobacillus phage PLE2, complete genome",Lactobacillus casei BL23,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
